log_path,job_name,sample_id,is_failed,mem_gb_snakemake,cpu_snakemake,mem_gb_req,time_sec_req,time_sec_total,Eff,start_time
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207059637_S36_ardetype.mlst.o2287004,mlst,2207059637_S36,0.0,2.4990234375,4.0,5.859375,600.0,2.0,0.33,2022:08:31-20:09:44
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208055567_S41_ardetype.extract_fastp.o2321532,extract_fastp,2208055567_S41,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:09:20-12:02:18
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/EQA-2216_S7_ardetype.classify_reads.o2284020,classify_reads,EQA-2216_S7,0.0,4.1591796875,14.0,251.953125,7200.0,119.0,1.65,2022:08:29-15:28:21
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/EQA-S0008_S3_ardetype.mob_recon.o2287087,mob_recon,EQA-S0008_S3,0.0,2.955078125,1.0,11.71875,600.0,181.0,30.17,2022:08:31-20:20:27
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/EQA-S0004_S1_ardetype.contig_assembly.o2279809,contig_assembly,EQA-S0004_S1,0.0,3.75,12.0,46.875,36000.0,389.0,1.08,2022:08:18-12:42:35
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/8938_S28_ardetype.classify_contigs.o2286800,classify_contigs,8938_S28,0.0,1.4267578125,14.0,251.953125,9000.0,6.0,0.07,2022:08:31-17:08:55
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208072994_S45_ardetype.resfinder.o2317648,resfinder,2208072994_S45,0.0,2.53515625,1.0,11.71875,600.0,16.0,2.67,2022:09:19-18:07:37
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208033000_S19_ardetype.mob_recon.o2298373,mob_recon,2208033000_S19,0.0,2.9560546875,1.0,11.71875,600.0,250.0,41.67,2022:09:06-13:11:12
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208000604_S12_ardetype.quality_control.o2294733,quality_control,2208000604_S12,0.0,1.7978515625,4.0,17.578125,7200.0,43.0,0.6,2022:09:05-15:35:13
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/EQA-S0005_S2_ardetype.rgi_card.o2286946,res_gen_id,EQA-S0005_S2,0.0,0.9765625,4.0,3.90625,1800.0,157.0,8.72,2022:08:31-19:58:34
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/EQA-S0005_S2_ardetype.classify_contigs.o2284098,classify_contigs,EQA-S0005_S2,0.0,1.42578125,15.0,251.953125,9000.0,5.0,0.06,2022:08:29-16:06:01
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/8446_S23_ardetype.resfinder.o2280345,resfinder,8446_S23,0.0,2.5361328125,1.0,11.71875,600.0,12.0,2.0,2022:08:19-19:11:53
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207044863_S58_ardetype.extract_mlst.o2281997,extract_mlst,2207044863_S58,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:08:22-11:00:03
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/22383806re_S32_ardetype.mlst.o2298217,mlst,22383806re_S32,0.0,2.4990234375,4.0,5.859375,600.0,2.0,0.33,2022:09:06-12:46:07
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2209001968_S61_ardetype.contig_assembly.o2309991,contig_assembly,2209001968_S61,0.0,4.15234375,12.0,46.875,36000.0,433.0,1.2,2022:09:16-15:22:58
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/8204_S17_ardetype.classify_contigs.o2279835,classify_contigs,8204_S17,0.0,1.42578125,12.0,251.953125,9000.0,36.0,0.4,2022:08:18-12:53:47
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/22390912st_S38_ardetype.quality_control.o2294399,quality_control,22390912st_S38,0.0,1.7236328125,4.0,17.578125,7200.0,31.0,0.43,2022:09:05-14:41:51
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208006054_S44_ardetype.rgi_card.o2298251,res_gen_id,2208006054_S44,0.0,0.9765625,1.0,3.90625,1800.0,261.0,14.5,2022:09:06-12:53:02
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/8244_S19_ardetype.resfinder.o2280209,resfinder,8244_S19,0.0,2.5361328125,1.0,11.71875,600.0,13.0,2.17,2022:08:19-18:59:43
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208095319_S55_ardetype.resfinder.o2317617,resfinder,2208095319_S55,0.0,2.537109375,1.0,11.71875,600.0,19.0,3.17,2022:09:19-18:05:22
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/220706660_S68_ardetype.classify_contigs.o2279844,classify_contigs,220706660_S68,0.0,1.42578125,12.0,251.953125,9000.0,62.0,0.69,2022:08:18-12:56:44
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208040873_S14_ardetype.extract_fastp.o2321401,extract_fastp,2208040873_S14,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:09:20-11:56:38
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208073493_S38_ardetype.mob_recon.o2317817,mob_recon,2208073493_S38,0.0,2.94921875,1.0,11.71875,600.0,61.0,10.17,2022:09:19-18:16:56
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208029428_S17_ardetype.quality_control.o2293192,quality_control,2208029428_S17,0.0,0.9765625,4.0,17.578125,7200.0,2.0,0.03,2022:09:05-11:57:42
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/EQA-2215_S6_ardetype.mlst.o2286995,mlst,EQA-2215_S6,0.0,2.498046875,4.0,5.859375,600.0,3.0,0.5,2022:08:31-20:08:32
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/8248_S20_ardetype.quality_control.o2278915,quality_control,8248_S20,0.0,3.8955078125,4.0,17.578125,7200.0,68.0,0.94,2022:08:17-15:10:16
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/EQA-2215_S6_ardetype.extract_kraken2.o2282035,extract_kraken2,EQA-2215_S6,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:08:22-11:01:35
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/EQA-2214_S5_ardetype.resfinder.o2287236,resfinder,EQA-2214_S5,0.0,2.53515625,1.0,11.71875,600.0,14.0,2.33,2022:08:31-20:43:52
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208036532_S30_ardetype.filter_host.o2293210,filter_host,2208036532_S30,0.0,0.9765625,2.0,251.953125,7800.0,16.0,0.21,2022:09:05-11:58:08
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/7534990_S34_ardetype.rgi_card.o2286901,res_gen_id,7534990_S34,0.0,0.9765625,4.0,3.90625,1800.0,65.0,3.61,2022:08:31-19:45:20
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/EQA-S0004_S1_ardetype.quality_control.o2279796,quality_control,EQA-S0004_S1,0.0,3.5390625,4.0,17.578125,7200.0,60.0,0.83,2022:08:18-12:33:30
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207074224_S53_ardetype.mob_recon.o2287154,mob_recon,2207074224_S53,0.0,2.955078125,1.0,11.71875,600.0,149.0,24.83,2022:08:31-20:30:42
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2206023778_S60_ardetype.mob_recon.o2287046,mob_recon,2206023778_S60,0.0,2.953125,1.0,11.71875,600.0,123.0,20.5,2022:08:31-20:14:03
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208041003_S19_ardetype.quality_control.o2310046,quality_control,2208041003_S19,0.0,5.84765625,4.0,17.578125,7200.0,103.0,1.43,2022:09:16-16:05:51
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/22408590re_S6_ardetype.extract_mlst.o2321504,extract_mlst,22408590re_S6,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:09:20-12:00:46
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207054893_S50_ardetype.classify_contigs.o2284072,classify_contigs,2207054893_S50,0.0,1.427734375,16.0,251.953125,9000.0,6.0,0.07,2022:08:29-16:00:44
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/EQA-2219_S10_ardetype.extract_quast.o2282134,extract_quast,EQA-2219_S10,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:08:22-11:05:44
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/22036094_S25_ardetype.extract_quast.o2321568,extract_quast,22036094_S25,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:09:20-12:03:53
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/EQA-2222_S13_ardetype.extract_kraken2.o2282105,extract_kraken2,EQA-2222_S13,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:08:22-11:04:42
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/220706660_S68_ardetype.extract_fastp.o2282256,extract_fastp,220706660_S68,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:08:22-11:10:55
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208048518_S40_ardetype.seqsero.o2321279,seqsero_senterica,2208048518_S40,0.0,4.2060546875,12.0,17.578125,600.0,334.0,55.67,2022:09:20-11:45:09
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/22402623_S23_ardetype.pasteur_cgmlst.o2302675,pasteur_cgmlst_ecoli,22402623_S23,0.0,0.9765625,1.0,4.8828125,900.0,320.0,35.56,2022:09:08-11:00:24
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207077015_S56_ardetype.quality_control.o2286767,quality_control,2207077015_S56,0.0,3.40625,4.0,17.578125,7200.0,84.0,1.17,2022:08:31-16:54:44
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/22408260_S27_ardetype.mlst.o2298227,mlst,22408260_S27,0.0,2.4990234375,4.0,5.859375,600.0,3.0,0.5,2022:09:06-12:49:11
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207002111_S51_ardetype.quality_control.o2284017,quality_control,2207002111_S51,1.0,3.6455078125,1.0,17.578125,7200.0,85999.0,1194.43,2022:08:29-15:26:37
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/EQA-2215_S6_ardetype.filter_host.o2283802,filter_host,EQA-2215_S6,0.0,2.9833984375,15.0,251.953125,7800.0,1787.0,22.91,2022:08:29-14:07:35
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/22036244_2_S27_ardetype.amrpp.o2316540,amrpp,22036244_2_S27,0.0,5.8212890625,13.0,36.62109375,37800.0,4387.0,11.61,2022:09:19-13:32:56
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/22036244_1_S26_ardetype.quality_control.o2310036,quality_control,22036244_1_S26,0.0,3.9951171875,4.0,17.578125,7200.0,69.0,0.96,2022:09:16-15:56:42
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/22410785ba_S7_ardetype.mob_typer.o2317893,mob_typer,22410785ba_S7,0.0,2.955078125,1.0,11.71875,1800.0,138.0,7.67,2022:09:19-18:20:57
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207081311_S9_ardetype.resfinder.o2298371,resfinder,2207081311_S9,0.0,2.5361328125,1.0,11.71875,600.0,21.0,3.5,2022:09:06-13:10:52
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/EQA2226_ardetype.amrpp.o2321150,amrpp,EQA2226,0.0,0.9765625,12.0,36.62109375,37800.0,82.0,0.22,2022:09:20-09:46:19
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/22402623_S23_ardetype.resfinder.o2298336,resfinder,22402623_S23,0.0,2.537109375,1.0,11.71875,600.0,17.0,2.83,2022:09:06-13:05:37
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207015135_S62_ardetype.quast.o2280352,quast,2207015135_S62,0.0,2.4990234375,1.0,4.8828125,1800.0,2.0,0.11,2022:08:19-19:12:25
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208073493_S38_ardetype.mob_typer.o2317937,mob_typer,2208073493_S38,0.0,2.94921875,1.0,11.71875,1800.0,68.0,3.78,2022:09:19-18:23:32
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208090935_S52_ardetype.classify_reads.o2309974,classify_reads,2208090935_S52,0.0,5.060546875,16.0,251.953125,7200.0,223.0,3.1,2022:09:16-15:11:44
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208040890_S15_ardetype.extract_quast.o2321387,extract_quast,2208040890_S15,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:09:20-11:55:36
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/8446_S23_ardetype.ectyper.o2287359,ectyper_ecoli,8446_S23,0.0,1.86328125,1.0,9.765625,600.0,7.0,1.17,2022:08:31-21:10:34
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/22035413_S29_ardetype.extract_kraken2.o2321491,extract_kraken2,22035413_S29,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:09:20-12:00:15
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/8367_S21_ardetype.quast.o2280322,quast,8367_S21,0.0,2.4990234375,1.0,4.8828125,1800.0,2.0,0.11,2022:08:19-19:10:01
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/22035715_S24_ardetype.quality_control.o2309832,quality_control,22035715_S24,0.0,3.904296875,4.0,17.578125,7200.0,67.0,0.93,2022:09:16-12:01:24
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208051515_S1_ardetype.rgi_card.o2317226,res_gen_id,2208051515_S1,0.0,0.9765625,4.0,3.90625,1800.0,148.0,8.22,2022:09:19-17:37:44
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/EQA-2217_S8_ardetype.seqsero.o2287307,seqsero_senterica,EQA-2217_S8,0.0,3.9140625,8.0,17.578125,600.0,336.0,56.0,2022:08:31-20:56:11
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2206023756_S59_ardetype.extract_kraken2.o2287657,extract_kraken2,2206023756_S59,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:08:31-21:39:02
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/8845_S27_ardetype.mob_recon.o2287101,mob_recon,8845_S27,0.0,2.9560546875,1.0,11.71875,600.0,180.0,30.0,2022:08:31-20:22:58
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207054846_S66_ardetype.classify_reads.o2284052,classify_reads,2207054846_S66,0.0,4.88671875,14.0,251.953125,7200.0,146.0,2.03,2022:08:29-15:46:42
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207054892_S38_ardetype.filter_host.o2286781,filter_host,2207054892_S38,0.0,1.3720703125,12.0,251.953125,7800.0,189.0,2.42,2022:08:31-16:56:10
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208009994_S42_ardetype.quast.o2298437,quast,2208009994_S42,0.0,2.4990234375,1.0,4.8828125,1800.0,2.0,0.11,2022:09:06-13:19:23
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208048518_S40_ardetype.quast.o2317915,quast,2208048518_S40,0.0,2.498046875,1.0,4.8828125,1800.0,2.0,0.11,2022:09:19-18:22:12
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/22395438_S22_ardetype.extract_fastp.o2302913,extract_fastp,22395438_S22,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:09:08-11:24:24
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/22_1_4_00420_S25_ardetype.extract_fastp.o2302803,extract_fastp,22_1_4_00420_S25,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:09:08-11:19:41
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207059694_S52_ardetype.mob_typer.o2287293,mob_typer,2207059694_S52,0.0,2.94921875,1.0,11.71875,1800.0,55.0,3.06,2022:08:31-20:52:27
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/EQA-AST-C0004_S15_ardetype.classify_contigs.o2284125,classify_contigs,EQA-AST-C0004_S15,0.0,1.4189453125,16.0,251.953125,9000.0,3.0,0.03,2022:08:29-16:10:10
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/8248_S20_ardetype.resfinder.o2287174,resfinder,8248_S20,0.0,2.5361328125,1.0,11.71875,600.0,17.0,2.83,2022:08:31-20:33:08
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/EQA-2217_S8_ardetype.mob_typer.o2287295,mob_typer,EQA-2217_S8,0.0,2.9541015625,1.0,11.71875,1800.0,114.0,6.33,2022:08:31-20:53:40
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/8204_S17_ardetype.rgi_card.o2286948,res_gen_id,8204_S17,0.0,0.9765625,4.0,3.90625,1800.0,115.0,6.39,2022:08:31-19:59:20
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/22405802_S24_ardetype.kleborate.o2298780,kleborate_kpneumoniae,22405802_S24,0.0,1.08203125,1.0,7.8125,600.0,146.0,24.33,2022:09:06-15:58:28
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/8938_S28_ardetype.classify_contigs.o2279824,classify_contigs,8938_S28,0.0,1.4267578125,12.0,251.953125,9000.0,78.0,0.87,2022:08:18-12:49:46
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/22009851KR_S62_ardetype.amrpp.o2316525,amrpp,22009851KR_S62,0.0,4.86328125,24.0,36.62109375,37800.0,2846.0,7.53,2022:09:19-13:04:23
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2206023778_S60_ardetype.extract_fastp.o2287653,extract_fastp,2206023778_S60,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:08:31-21:39:03
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/8446_S23_ardetype.contig_assembly.o2279040,contig_assembly,8446_S23,0.0,4.98828125,12.0,46.875,36000.0,303.0,0.84,2022:08:17-15:41:26
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208009987_S41_ardetype.resfinder.o2298533,resfinder,2208009987_S41,0.0,2.546875,1.0,11.71875,600.0,27.0,4.5,2022:09:06-13:30:16
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207062396_S65_ardetype.extract_mlst.o2287644,extract_mlst,2207062396_S65,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:08:31-21:38:31
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/8367_S21_ardetype.resfinder.o2280248,resfinder,8367_S21,0.0,2.5361328125,1.0,11.71875,600.0,13.0,2.17,2022:08:19-19:02:50
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207076988_S55_ardetype.contig_assembly.o2284035,contig_assembly,2207076988_S55,1.0,2.9423828125,4.0,46.875,36000.0,85487.0,237.46,2022:08:29-15:35:10
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208033000_S19_ardetype.contig_assembly.o2293238,contig_assembly,2208033000_S19,1.0,0.9765625,12.0,46.875,36000.0,12054.0,33.48,2022:09:05-11:58:59
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/8938_S28_ardetype.ectyper.o2287376,ectyper_ecoli,8938_S28,0.0,1.8642578125,1.0,9.765625,600.0,6.0,1.0,2022:08:31-21:13:26
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2207074291_S54_ardetype.extract_quast.o2287445,extract_quast,2207074291_S54,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:08:31-21:30:25
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/2208029411_S16_ardetype.extract_mlst.o2302805,extract_mlst,2208029411_S16,0.0,0.9765625,1.0,2.9296875,120.0,0.0,0.0,2022:09:08-11:19:42
/mnt/home/groups/nmrl/bact_analysis/Ardetype/ardetype_job_logs/EQA-2222_S13_ardetype.mob_typer.o2287278,mob_typer,EQA-2222_S13,0.0,2.9541015625,1.0,11.71875,1800.0,118.0,6.56,2022:08:31-20:50:17
